Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/с;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях;nominal_rpm;pressure_coefficients;efficiency_coefficients;Num;h ed;D;D1;d;n;L;L1 max;L2;l;b;d1;B;H1;H
V13-284-4-10-30-463A4;Осевой;ВО 13-284-10/30°-4-63A4;63A4;405;0.73 - 1.20;110 - 71;250;-;-;1370;-;-;10;56 - 100;405;440;10;8;285;425;225;30;260;15;475;495;255
V13-284-4-10-20-463B2;Осевой;ВО 13-284-10/20°-4-63B2;63B2;405;0.83 - 1.90;380 - 177;550;-;-;2750;-;-;10;56 - 100;405;440;10;8;285;425;225;30;260;15;475;495;255
V13-284-4-10-25-471B2;Осевой;ВО 13-284-10/25°-4-71B2;71B2;405;1.00 - 2.30;465 - 254;1100;-;-;2800;-;-;10;56 - 100;405;440;10;8;285;425;225;30;260;15;475;495;255
V13-284-4-10-30-471B2;Осевой;ВО 13-284-10/30°-4-71B2;71B2;405;1.50 - 2.40;467 - 297;1100;-;-;2800;-;-;10;56 - 100;405;440;10;8;285;425;225;30;260;15;475;495;255
V13-284-5-4-15-563B4;Осевой;ВО 13-284-4/15°-5-63B4;63B4;505;0.50 - 1.40;80 - 35;370;-;-;1370;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-20-563B4;Осевой;ВО 13-284-4/20°-5-63B4;63B4;505;0.70 - 1.60;90 - 50;370;-;-;1370;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-25-563B4;Осевой;ВО 13-284-4/25°-5-63B4;63B4;505;1.00 - 1.80;100 - 65;370;-;-;1370;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-30-563B4;Осевой;ВО 13-284-4/30°-5-63B4;63B4;505;1.40 - 2.10;100 - 85;370;-;-;1370;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-15-571A2;Осевой;ВО 13-284-4/15°-5-71A2;71A2;505;1.00 - 2.80;340 - 145;750;-;-;2800;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-20-571B2;Осевой;ВО 13-284-4/20°-5-71B2;71B2;505;1.40 - 3.30;385 - 210;1100;-;-;2800;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-25-580A2;Осевой;ВО 13-284-4/25°-5-80A2;80A2;505;2.10 - 3.80;410 - 285;1500;-;-;2800;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-4-30-580B2;Осевой;ВО 13-284-4/30°-5-80B2;80B2;505;2.80 - 4.20;425 - 360;2200;-;-;2800;-;-;4;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-6-15-563B4;Осевой;ВО 13-284-6/15°-5-63B4;63B4;505;0.60 - 1.40;110 - 40;370;-;-;1370;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-6-20-563B4;Осевой;ВО 13-284-6/20°-5-63B4;63B4;505;0.70 - 1.70;120 - 60;370;-;-;1370;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-6-25-563B4;Осевой;ВО 13-284-6/25°-5-63B4;63B4;505;1.00 - 2.00;130 - 80;370;-;-;1370;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-6-30-563B4;Осевой;ВО 13-284-6/30°-5-63B4;63B4;505;1.30 - 2.20;135 - 100;370;-;-;1370;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
V13-284-5-6-15-571B2;Осевой;ВО 13-284-6/15°-5-71B2;71B2;505;1.20 - 2.90;450 - 170;1100;-;-;2800;-;-;6;56 - 90, 100;505;540;10;16;285;380;225;30;380;15;575;595;305
