Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/с;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях;nominal_rpm;pressure_coefficients;efficiency_coefficients;Num;h ed;D;D1;d;n;L;L1 max;L2;l;b;d1;B;H1;H
V13-284-8-6-20-880A6;Осевой;ВО 13-284-6/20°-8-80A6;80A6;810;1.90 - 4.70;135 - 70;750;-;-;910;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-6-25-880A6;Осевой;ВО 13-284-6/25°-8-80A6;80A6;810;2.80 - 5.40;145 - 90;750;-;-;910;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-6-30-880B6;Осевой;ВО 13-284-6/30°-8-80B6;80B6;810;3.60 - 6.00;155 - 110;1100;-;-;910;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-6-20-890L4;Осевой;ВО 13-284-6/20°-8-90L4;90L4;810;2.90 - 7.20;320 - 160;2200;-;-;1400;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-6-25-8100S4;Осевой;ВО 13-284-6/25°-8-100S4;100S4;810;4.30 - 8.20;345 - 210;3000;-;-;1400;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-6-30-8100L4;Осевой;ВО 13-284-6/30°-8-100L4;100L4;810;5.60 - 9.20;365 - 265;4000;-;-;1400;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-8-20-890L6;Осевой;ВО 13-284-8/20°-8-90L6;90L6;810;2.20 - 4.90;150 - 75;1500;-;-;910;-;-;8;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-8-25-890L6;Осевой;ВО 13-284-8/25°-8-90L6;90L6;810;2.60 - 5.70;170 - 100;1500;-;-;910;-;-;8;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-8-30-890L6;Осевой;ВО 13-284-8/30°-8-90L6;90L6;810;3.80 - 6.20;175 - 120;1500;-;-;910;-;-;8;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-8-20-890L4;Осевой;ВО 13-284-8/20°-8-90L4;90L4;810;3.30 - 7.50;360 - 175;2200;-;-;1400;-;-;8;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-8-25-8100L4;Осевой;ВО 13-284-8/25°-8-100L4;100L4;810;4.00 - 8.80;410 - 235;4000;-;-;1400;-;-;8;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-8-30-8100L4;Осевой;ВО 13-284-8/30°-8-100L4;100L4;810;5.90 - 9.60;420 - 280;4000;-;-;1400;-;-;8;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-10-20-890L6;Осевой;ВО 13-284-10/20°-8-90L6;90L6;810;2.20 - 5.00;165 - 75;1500;-;-;910;-;-;10;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-10-25-890L6;Осевой;ВО 13-284-10/25°-8-90L6;90L6;810;2.70 - 6.00;195 - 105;1500;-;-;910;-;-;10;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-10-30-890L6;Осевой;ВО 13-284-10/30°-8-90L6;90L6;810;3.90 - 6.40;195 - 125;1500;-;-;910;-;-;10;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-10-20-8100S4;Осевой;ВО 13-284-10/20°-8-100S4;100S4;810;3.40 - 7.70;395 - 185;3000;-;-;1400;-;-;10;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-10-25-8100L4;Осевой;ВО 13-284-10/25°-8-100L4;100L4;810;4.20 - 9.20;465 - 225;4000;-;-;1400;-;-;10;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-10-30-8112M4;Осевой;ВО 13-284-10/30°-8-112M4;112M4;810;6.00 - 9.90;465 - 295;5500;-;-;1400;-;-;10;80 - 100, 112 - 160;810;850;10;16;485;750;425;30;650;15;880;900;455
V13-284-9-4-15-9100L6;Осевой;ВО 13-284-4/15°-9-100L6;100L6;910;1.90 - 5.20;115 - 45;2200;-;-;910;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-20-9100L6;Осевой;ВО 13-284-4/20°-9-100L6;100L6;910;2.70 - 6.10;130 - 70;2200;-;-;910;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-25-9100L6;Осевой;ВО 13-284-4/25°-9-100L6;100L6;910;3.90 - 7.10;140 - 95;2200;-;-;910;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-30-9100L6;Осевой;ВО 13-284-4/30°-9-100L6;100L6;910;5.40 - 7.90;145 - 120;2200;-;-;910;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-15-9100S4;Осевой;ВО 13-284-4/15°-9-100S4;100S4;910;2.90 - 8.00;270 - 115;3000;-;-;1400;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-20-9100L4;Осевой;ВО 13-284-4/20°-9-100L4;100L4;910;4.10 - 9.50;310 - 170;4000;-;-;1400;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-25-9112M4;Осевой;ВО 13-284-4/25°-9-112M4;112M4;910;6.00 - 10.00;330 - 220;5500;-;-;1400;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-4-30-9132S4;Осевой;ВО 13-284-4/30°-9-132S4;132S4;910;8.30 - 12.20;340 - 290;7500;-;-;1400;-;-;4;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-15-9100L6;Осевой;ВО 13-284-6/15°-9-100L6;100L6;910;2.10 - 5.50;150 - 55;2200;-;-;910;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-20-9100L6;Осевой;ВО 13-284-6/20°-9-100L6;100L6;910;2.70 - 6.60;170 - 85;2200;-;-;910;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-25-9100L6;Осевой;ВО 13-284-6/25°-9-100L6;100L6;910;3.90 - 7.60;185 - 110;2200;-;-;910;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-30-9112MA6;Осевой;ВО 13-284-6/30°-9-112MA6;112MA6;910;5.10 - 8.50;195 - 140;3000;-;-;910;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-15-9100L4;Осевой;ВО 13-284-6/15°-9-100L4;100L4;910;3.30 - 8.50;365 - 135;4000;-;-;1400;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-20-9112M4;Осевой;ВО 13-284-6/20°-9-112M4;112M4;910;4.10 - 10.20;400 - 200;5500;-;-;1400;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-25-9132S4;Осевой;ВО 13-284-6/25°-9-132S4;132S4;910;6.10 - 12.90;450 - 275;7500;-;-;1420;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-6-30-9132M4;Осевой;ВО 13-284-6/30°-9-132M4;132M4;910;8.00 - 13.30;470 - 340;11000;-;-;1420;-;-;6;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-8-20-9100L6;Осевой;ВО 13-284-8/20°-9-100L6;100L6;910;3.00 - 6.90;190 - 90;2200;-;-;910;-;-;8;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-8-25-9112MA6;Осевой;ВО 13-284-8/25°-9-112MA6;112MA6;910;3.70 - 8.10;215 - 120;3000;-;-;910;-;-;8;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-8-30-9112MA6;Осевой;ВО 13-284-8/30°-9-112MA6;112MA6;910;5.40 - 8.80;220 - 150;3000;-;-;910;-;-;8;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-8-20-9112M4;Осевой;ВО 13-284-8/20°-9-112M4;112M4;910;4.70 - 10.70;455 - 215;5500;-;-;1400;-;-;8;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-8-25-9132M4;Осевой;ВО 13-284-8/25°-9-132M4;132M4;910;5.80 - 12.60;530 - 300;11000;-;-;1420;-;-;8;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-8-30-9132M4;Осевой;ВО 13-284-8/30°-9-132M4;132M4;910;8.50 - 13.80;545 - 365;11000;-;-;1420;-;-;8;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-10-20-9100L6;Осевой;ВО 13-284-10/20°-9-100L6;100L6;910;3.10 - 7.10;210 - 95;2200;-;-;910;-;-;10;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-10-25-9112MA6;Осевой;ВО 13-284-10/25°-9-112MA6;112MA6;910;3.80 - 8.50;245 - 135;3000;-;-;910;-;-;10;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-10-30-9112MB6;Осевой;ВО 13-284-10/30°-9-112MB6;112MB6;910;5.50 - 9.10;250 - 115;4000;-;-;910;-;-;10;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-10-20-9132S4;Осевой;ВО 13-284-10/20°-9-132S4;132S4;910;4.80 - 11.10;510 - 235;7500;-;-;1420;-;-;10;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-10-25-9132M4;Осевой;ВО 13-284-10/25°-9-132M4;132M4;910;6.00 - 13.30;600 - 330;11000;-;-;1420;-;-;10;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-9-10-30-9132M4;Осевой;ВО 13-284-10/30°-9-132M4;132M4;910;8.50 - 14.20;605 - 385;11000;-;-;1420;-;-;10;80 - 100, 112 - 160, 180;910;950;10;16;485;790;425;30;750;15;990;1000;505
V13-284-10-4-15-10100L6;Осевой;ВО 13-284-4/15°-10-100L6;100L6;1010;2.60 - 7.20;145 - 60;2200;-;-;910;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-4-20-10100L6;Осевой;ВО 13-284-4/20°-10-100L6;100L6;1010;3.70 - 8.50;165 - 90;2200;-;-;910;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-4-25-10100L6;Осевой;ВО 13-284-4/25°-10-100L6;100L6;1010;5.40 - 9.80;170 - 120;2200;-;-;910;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-4-15-10100S4;Осевой;ВО 13-284-4/15°-10-100S4;100S4;1010;4.00 - 11.00;340 - 145;3000;-;-;1400;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-4-20-10112M4;Осевой;ВО 13-284-4/20°-10-112M4;112M4;1010;5.80 - 13.10;385 - 210;5500;-;-;1400;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-4-25-10132S4;Осевой;ВО 13-284-4/25°-10-132S4;132S4;1010;8.50 - 15.30;420 - 290;7500;-;-;1420;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-4-30-10132M4;Осевой;ВО 13-284-4/30°-10-132M4;132M4;1010;11.70 - 17.10;435 - 370;11000;-;-;1420;-;-;4;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-15-10100L6;Осевой;ВО 13-284-6/15°-10-100L6;100L6;1010;3.00 - 7.60;190 - 70;2200;-;-;910;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-20-10100L6;Осевой;ВО 13-284-6/20°-10-100L6;100L6;1010;3.70 - 9.20;210 - 105;2200;-;-;910;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-25-10112MA6;Осевой;ВО 13-284-6/25°-10-112MA6;112MA6;1010;5.40 - 10.50;230 - 140;3000;-;-;910;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-15-10112M4;Осевой;ВО 13-284-6/15°-10-112M4;112M4;1010;4.60 - 11.70;450 - 170;5500;-;-;1400;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-20-10132S4;Осевой;ВО 13-284-6/20°-10-132S4;132S4;1010;5.80 - 14.30;515 - 260;7500;-;-;1420;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-25-10132M4;Осевой;ВО 13-284-6/25°-10-132M4;132M4;1010;8.50 - 16.40;555 - 340;11000;-;-;1420;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-6-30-10132M4;Осевой;ВО 13-284-6/30°-10-132M4;132M4;1010;11.10 - 18.30;585 - 425;11000;-;-;1420;-;-;6;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-8-20-10100L6;Осевой;ВО 13-284-8/20°-10-100L6;100L6;1010;4.20 - 9.50;240 - 115;2200;-;-;910;-;-;8;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-8-25-10112MA6;Осевой;ВО 13-284-8/25°-10-112MA6;112MA6;1010;5.20 - 11.20;270 - 155;3000;-;-;910;-;-;8;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-8-30-10112MB6;Осевой;ВО 13-284-8/30°-10-112MB6;112MB6;1010;7.50 - 12.20;275 - 185;4000;-;-;910;-;-;8;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-8-20-10132S4;Осевой;ВО 13-284-8/20°-10-132S4;132S4;1010;6.60 - 14.90;580 - 280;7500;-;-;1420;-;-;8;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-8-25-10132M4;Осевой;ВО 13-284-8/25°-10-132M4;132M4;1010;8.10 - 17.40;660 - 380;11000;-;-;1420;-;-;8;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-8-30-10160S4;Осевой;ВО 13-284-8/30°-10-160S4;160S4;1010;11.70 - 19.00;670 - 450;15000;-;-;1420;-;-;8;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-10-20-10112MA6;Осевой;ВО 13-284-10/20°-10-112MA6;112MA6;1010;4.30 - 9.80;260 - 120;3000;-;-;910;-;-;10;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-10-25-10112MB6;Осевой;ВО 13-284-10/25°-10-112MB6;112MB6;1010;5.30 - 11.70;305 - 165;4000;-;-;910;-;-;10;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-10-30-10112MB6;Осевой;ВО 13-284-10/30°-10-112MB6;112MB6;1010;7.50 - 12.50;305 - 196;4000;-;-;910;-;-;10;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-10-20-10132S4;Осевой;ВО 13-284-10/20°-10-132S4;132S4;1010;6.70 - 15.20;630 - 295;7500;-;-;1420;-;-;10;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-10-25-10132M4;Осевой;ВО 13-284-10/25°-10-132M4;132M4;1010;8.20 - 18.30;750 - 405;11000;-;-;1420;-;-;10;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-10-10-30-10160S4;Осевой;ВО 13-284-10/30°-10-160S4;160S4;1010;11.80 - 19.50;750 - 475;15000;-;-;1420;-;-;10;100 - 160, 180;1010;1050;10;16;485;790;425;30;850;15;1090;1100;555
V13-284-11.2-4-15-11.2112MA8;Осевой;ВО 13-284-4/15°-11,2-112MA8;112MA8;1130;2.80 - 7.70;100 - 45;2200;-;-;700;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-20-11.2112MA8;Осевой;ВО 13-284-4/20°-11,2-112MA8;112MA8;1130;4.00 - 9.10;120 - 65;2200;-;-;700;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-25-11.2112MA8;Осевой;ВО 13-284-4/25°-11,2-112MA8;112MA8;1130;5.80 - 10.50;125 - 85;2200;-;-;700;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-30-11.2112MB8;Осевой;ВО 13-284-4/30°-11,2-112MB8;112MB8;1130;8.00 - 11.80;130 - 110;3000;-;-;700;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-15-11.2112MA6;Осевой;ВО 13-284-4/15°-11,2-112MA6;112MA6;1130;3.60 - 10.00;175 - 75;3000;-;-;910;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-20-11.2112MA6;Осевой;ВО 13-284-4/20°-11,2-112MA6;112MA6;1130;5.20 - 11.90;200 - 110;3000;-;-;910;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-25-11.2112MB6;Осевой;ВО 13-284-4/25°-11,2-112MB6;112MB6;1130;7.60 - 13.70;215 - 150;4000;-;-;910;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-4-30-11.2132S6;Осевой;ВО 13-284-4/30°-11,2-132S6;132S6;1130;10.80 - 15.90;240 - 200;5500;-;-;940;-;-;4;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-15-11.2112MA8;Осевой;ВО 13-284-6/15°-11,2-112MA8;112MA8;1130;3.20 - 8.20;140 - 50;2200;-;-;700;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-20-11.2112MA8;Осевой;ВО 13-284-6/20°-11,2-112MA8;112MA8;1130;4.00 - 9.90;155 - 75;2200;-;-;700;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-25-11.2112MB8;Осевой;ВО 13-284-6/25°-11,2-112MB8;112MB8;1130;5.80 - 11.30;165 - 100;3000;-;-;700;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-30-11.2112MB8;Осевой;ВО 13-284-6/30°-11,2-112MB8;112MB8;1130;7.60 - 12.60;175 - 125;3000;-;-;700;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-15-11.2112MB6;Осевой;ВО 13-284-6/15°-11,2-112MB6;112MB6;1130;4.20 - 10.60;240 - 90;4000;-;-;910;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-20-11.2132S6;Осевой;ВО 13-284-6/20°-11,2-132S6;132S6;1130;5.20 - 12.80;260 - 130;5500;-;-;910;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-25-11.2132M6;Осевой;ВО 13-284-6/25°-11,2-132M6;132M6;1130;7.80 - 15.20;300 - 185;7500;-;-;940;-;-;6;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-6-30-11.2160S6;Осевой;ВО 13-284-6/30°-11,2-160S6;160S6;1130;10.30 - 17.00;320 - 230;11000;-;-;940;-;-;6;100 - 160, 180, 200;1130;1180;10;16;650;840;580;35;1020;18;1250;1250;625
V13-284-11.2-8-20-11.2112MA8;Осевой;ВО 13-284-8/20°-11,2-112MA8;112MA8;1130;4.50 - 10.30;175 - 80;2200;-;-;700;-;-;8;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-8-25-11.2112MB8;Осевой;ВО 13-284-8/25°-11,2-112MB8;112MB8;1130;5.50 - 12.00;200 - 110;3000;-;-;700;-;-;8;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-8-30-11.2132S8;Осевой;ВО 13-284-8/30°-11,2-132S8;132S8;1130;8.10 - 13.10;205 - 135;4000;-;-;700;-;-;8;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-8-20-11.2132S6;Осевой;ВО 13-284-8/20°-11,2-132S6;132S6;1130;6.10 - 13.80;320 - 150;5500;-;-;940;-;-;8;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-8-25-11.2132M6;Осевой;ВО 13-284-8/25°-11,2-132M6;132M6;1130;7.40 - 16.10;360 - 200;7500;-;-;940;-;-;8;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-8-30-11.2160S6;Осевой;ВО 13-284-8/30°-11,2-160S6;160S6;1130;10.90 - 17.60;370 - 240;11000;-;-;940;-;-;8;100 - 160, 180, 200;1130;1180;10;16;650;840;580;35;1020;18;1250;1250;625
V13-284-11.2-10-20-11.2112MB8;Осевой;ВО 13-284-10/20°-11,2-112MB8;112MB8;1130;4.60 - 10.50;190 - 85;3000;-;-;700;-;-;10;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-10-25-11.2132S8;Осевой;ВО 13-284-10/25°-11,2-132S8;132S8;1130;5.70 - 12.60;225 - 120;4000;-;-;700;-;-;10;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-10-30-11.2132S8;Осевой;ВО 13-284-10/30°-11,2-132S8;132S8;1130;8.10 - 13.50;230 - 145;4000;-;-;700;-;-;10;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-10-20-11.2132M6;Осевой;ВО 13-284-10/20°-11,2-132M6;132M6;1130;6.20 - 14.10;340 - 160;7500;-;-;940;-;-;10;100 - 160, 180, 200;1130;1180;10;16;485;700;425;30;980;15;1210;1220;615
V13-284-11.2-10-25-11.2160S6;Осевой;ВО 13-284-10/25°-11,2-160S6;160S6;1130;7.60 - 16.90;410 - 220;11000;-;-;940;-;-;10;100 - 160, 180, 200;1130;1180;10;16;650;840;580;35;1020;18;1250;1250;625
V13-284-11.2-10-30-11.2160S6;Осевой;ВО 13-284-10/30°-11,2-160S6;160S6;1130;10.90 - 18.10;420 - 260;11000;-;-;940;-;-;10;100 - 160, 180, 200;1130;1180;10;16;650;840;580;35;1020;18;1250;1250;625
V13-284-12.5-4-15-12.5112MB8;Осевой;ВО 13-284-4/15°-12,5-112MB8;112MB8;1260;3.90 - 10.80;130 - 55;3000;-;-;700;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-20-12.5112MB8;Осевой;ВО 13-284-4/20°-12,5-112MB8;112MB8;1260;5.60 - 12.80;150 - 80;3000;-;-;700;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-25-12.5112MB8;Осевой;ВО 13-284-4/25°-12,5-112MB8;112MB8;1260;8.20 - 14.70;160 - 110;3000;-;-;700;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-30-12.5112MB8;Осевой;ВО 13-284-4/30°-12,5-112MB8;112MB8;1260;11.20 - 16.50;165 - 140;3000;-;-;700;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-15-12.5112MB6;Осевой;ВО 13-284-4/15°-12,5-112MB6;112MB6;1260;5.10 - 14.00;220 - 95;4000;-;-;910;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-20-12.5112MB6;Осевой;ВО 13-284-4/20°-12,5-112MB6;112MB6;1260;7.30 - 16.60;255 - 140;4000;-;-;910;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-25-12.5132S6;Осевой;ВО 13-284-4/25°-12,5-132S6;132S6;1260;10.90 - 19.80;290 - 200;5500;-;-;940;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-4-30-12.5132M6;Осевой;ВО 13-284-4/30°-12,5-132M6;132M6;1260;15.10 - 22.10;300 - 255;7500;-;-;940;-;-;4;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-6-15-12.5112MB8;Осевой;ВО 13-284-6/15°-12,5-112MB8;112MB8;1260;4.50 - 11.40;175 - 65;3000;-;-;700;-;-;6;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-6-20-12.5112MB8;Осевой;ВО 13-284-6/20°-12,5-112MB8;112MB8;1260;5.60 - 13.80;195 - 100;3000;-;-;700;-;-;6;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-6-25-12.5132S8;Осевой;ВО 13-284-6/25°-12,5-132S8;132S8;1260;8.20 - 15.70;210 - 130;4000;-;-;700;-;-;6;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
V13-284-12.5-6-30-12.5132S8;Осевой;ВО 13-284-6/30°-12,5-132S8;132S8;1260;10.70 - 17.60;220 - 160;4000;-;-;700;-;-;6;112 - 132, 160 - 180, 200 - 225;1260;1300;10;16;485;700;425;30;1050;15;1340;1350;680
